FCA,ATL
DTW,IND
MSP,EWR
MYR,DTW
MSP,DCA
STL,SLC
DTW,MSP
ATL,CRW
DCA,SLC
SLC,DCA
DTW,SAN
HNL,ATL
ATL,HNL
LGA,MIA
MIA,LGA
CHO,ATL
CVG,RSW
RSW,CVG
GRR,MSP
SNA,MSP
MOB,ATL
LGA,MCO
GSP,DTW
BDL,DTW
TRI,ATL
DTW,EWR
CLE,SLC
LAS,CVG
TPA,SLC
LAX,CVG
MSP,MSO
MSP,IAH
LEX,ATL
DCA,MSP
JAX,MSP
MSP,JAX
JNU,SEA
ATL,TLH
GPT,ATL
PHX,MSP
CAK,ATL
JAX,JFK
JFK,JAX
PHX,ATL
CVG,LAS
FLL,DTW
LAX,MCO
ATL,LEX
SMF,ATL
KOA,SEA
SEA,KOA
ATL,AVP
ATL,ROC
SAT,SLC
SLC,AUS
ATL,ILM
ATW,ATL
SEA,JNU
SLC,BWI
ABQ,SLC
AVL,ATL
LAX,OGG
IAH,MSP
SLC,ANC
EWR,DTW
DCA,JFK
MSP,PHX
SEA,RDU
ATL,FSD
RDU,SEA
GEG,SLC
SLC,ORD
DTW,MEM
LAX,KOA
BWI,MSP
MSP,BWI
SLC,PIT
FAI,MSP
MSP,FAI
TUS,ATL
FSD,ATL
ABQ,MSP
MSP,ABQ
PIT,DTW
ATL,LIT
LIH,LAX
SMF,SLC
CVG,SEA
MSP,SFO
SEA,OGG
SLC,TPA
SLC,PSC
BUF,MSP
ATL,LFT
MKE,SLC
SLC,MKE
LIT,ATL
XNA,ATL
DTW,SAT
TVC,DTW
MIA,MSP
MSP,MIA
MSP,SJC
SJC,JFK
ATL,ALB
SAN,LAX
SMF,LAX
ANC,ATL
ATL,ANC
LAX,SAN
ILM,ATL
LAX,TPA
MCO,SEA
LFT,ATL
CVG,LAX
LGA,RSW
RSW,LGA
SYR,MSP
ATL,MHT
DTW,ALB
EWR,SLC
DCA,LAX
LAX,DCA
PWM,LGA
SAT,MSP
MSY,LGA
MSP,RSW
RSW,MSP
ATL,CAE
ATL,PHF
FAY,ATL
IND,DTW
BUF,DTW
MSP,TPA
TPA,MSP
MSO,MSP
SLC,EWR
BWI,DTW
ATL,TUS
ATL,FAY
SEA,GEG
MSP,MSY
SLC,MSO
OGG,SEA
FLL,MSP
MSP,FLL
FSD,MSP
SJC,MSP
ATL,ABE
FCA,LAX
LAX,FCA
MKE,SEA
MSP,GRR
TVC,ATL
